127.0.0.1 - - [14/May/2015:21:01:17 -0500] "GET /GroceryShop/index.jsp HTTP/1.1" 500 3140
127.0.0.1 - - [14/May/2015:21:07:12 -0500] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/May/2015:21:07:29 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [14/May/2015:21:07:29 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:07:29 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:08:09 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2228
0:0:0:0:0:0:0:1 - - [14/May/2015:21:13:20 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [14/May/2015:21:13:21 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [14/May/2015:21:13:21 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:09 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:09 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:09 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:09 -0500] "GET /GroceryShop/css/..images/road.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:13 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:42 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:43 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:43 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:43 -0500] "GET /GroceryShop/css/..images/road.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [14/May/2015:21:15:54 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:16:59 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:16:59 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [14/May/2015:21:16:59 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:16:59 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 200 10588983
0:0:0:0:0:0:0:1 - - [14/May/2015:21:17:08 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:17:09 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:17:09 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:17:09 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:30 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:30 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:31 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:31 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:31 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:32 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:18:40 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:19:09 -0500] "GET /GroceryShop/ HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [14/May/2015:21:19:09 -0500] "GET /GroceryShop/css/styles.css HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [14/May/2015:21:19:09 -0500] "GET /GroceryShop/images/fox.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2015:21:19:09 -0500] "GET /GroceryShop/images/road.jpg HTTP/1.1" 304 -
